id,name,x,y,lon,lat
1,Wiley Post-Will Rogers Mem,0.4407,-0.091,-156.83453,71.29047
2,Deadhorse,0.483,-0.1014,-148.52014,70.20234
3,Ralph Wien Memorial,0.411,-0.133,-162.6723,66.8961
4,Fairbanks Intl,0.4861,-0.1528,-147.91081,64.82448
5,Nome,0.3965,-0.1557,-165.5224,64.52106
6,St Mary's,0.4074,-0.1791,-163.37991,62.07277
7,Aniak,0.4266,-0.1837,-159.606,61.59148
8,Anchorage Intl,0.4752,-0.1876,-150.0533,61.183434
9,Tuluksak,0.4193,-0.1883,-161.04088,61.110195
10,Akiachak,0.4169,-0.1901,-161.51262,60.921864
11,Akiak,0.418,-0.1901,-161.2964,60.921864
12,Kwethluk,0.4169,-0.1911,-161.51262,60.817238
13,Bethel,0.4149,-0.1913,-161.90573,60.79631
14,Napaskiak,0.4152,-0.1921,-161.84676,60.71261
15,Napakiak,0.4142,-0.1922,-162.04332,60.702145
16,Merle K (Mudhole) Smith,0.4982,-0.1941,-145.53247,60.503353
17,Tuntutuliak,0.4107,-0.1956,-162.73128,60.346413
18,Eek,0.414,-0.1967,-162.08263,60.231323
19,Kongiganak,0.4096,-0.1992,-162.94748,59.969753
20,Kwigillingok,0.4082,-0.2003,-163.22267,59.85466
21,Quinhagak,0.4147,-0.2011,-161.94504,59.770958
22,Yakutat,0.5278,-0.2035,-139.71436,59.51985
23,Dillingham,0.4319,-0.2079,-158.56424,59.05949
24,King Salmon,0.4413,-0.2114,-156.7166,58.693295
25,Gustavus,0.548,-0.2138,-135.74388,58.44219
26,Juneau Intl,0.5537,-0.2145,-134.6235,58.36895
27,Kodiak,0.4625,-0.2203,-152.54958,57.762108
28,St Paul Island,0.3722,-0.2259,-170.29875,57.176193
29,Sitka,0.5497,-0.227,-135.40974,57.0611
30,Port Heiden,0.4312,-0.2278,-158.70184,56.977398
31,James A Johnson Petersburg,0.562,-0.2293,-132.99208,56.820457
32,Wrangell,0.565,-0.2324,-132.4024,56.496113
33,Ketchikan Intl,0.5683,-0.2432,-131.75377,55.366135
34,Sand Point,0.4216,-0.2435,-160.58879,55.334743
35,Cold Bay,0.4104,-0.2446,-162.79024,55.219654
36,Unalaska,0.3909,-0.2571,-166.62312,53.911808
37,Eareckson As,0.2924,-0.2684,-185.98405,52.729515
38,Adak Naf,0.3395,-0.2764,-176.72618,51.892494
39,Bellingham Intl,0.615,-0.3059,-122.57451,48.805977
40,Glacier Park Intl,0.6572,-0.3105,-114.27977,48.324688
41,Minot Intl,0.7233,-0.311,-101.2873,48.272373
42,William R Fairchild Intl,0.6101,-0.3123,-123.53764,48.13636
43,Grand Forks Afb,0.743,-0.3138,-97.415115,47.979416
44,Grand Forks Intl,0.7442,-0.3139,-97.179245,47.968956
45,Spokane Intl,0.6405,-0.3171,-117.56229,47.634144
46,Great Falls Intl,0.6719,-0.3184,-111.39037,47.49813
47,Seattle-Tacoma Intl,0.6162,-0.3188,-122.338646,47.45628
48,Pangborn Memorial,0.6269,-0.3192,-120.23547,47.41443
49,Grant County,0.6314,-0.321,-119.35097,47.226097
50,Missoula Intll,0.658,-0.3238,-114.12253,46.93314
51,Hector Intll,0.746,-0.3238,-96.82544,46.93314
52,Duluth Intl,0.7696,-0.3245,-92.186676,46.8599
53,Bismarck Muni,0.726,-0.3252,-100.75659,46.78666
54,Pullman/Moscow Regional,0.6427,-0.3254,-117.12986,46.765736
55,Helena Regional,0.6688,-0.3268,-111.9997,46.619255
56,Yakima Air Terminal,0.6252,-0.3271,-120.569626,46.587868
57,Marquette County,0.7931,-0.3275,-87.567566,46.546017
58,Lewiston-Nez Perce County,0.6431,-0.329,-117.05124,46.389076
59,Tri-Cities,0.6324,-0.33,-119.1544,46.284447
60,Walla Walla Regional,0.6367,-0.3317,-118.309204,46.106583
61,Bert Mooney,0.6662,-0.333,-112.51075,45.970566
62,Billings Logan Intl,0.6863,-0.3344,-108.559944,45.824085
63,Gallatin Field,0.673,-0.3347,-111.17416,45.792698
64,Eastern Oregon Regional At Pen,0.6338,-0.3355,-118.87923,45.708996
65,Portland Intl,0.6147,-0.3365,-122.63348,45.604366
66,Mcnary Fld,0.6127,-0.343,-123.026596,44.92429
67,Minneapolis-St Paul Intl/Wold-,0.7644,-0.3432,-93.20878,44.903362
68,Bangor Intl,0.8885,-0.3439,-68.81595,44.830124
69,Central Wisconsin,0.7824,-0.3442,-89.67074,44.798733
70,Cherry Capital,0.8032,-0.3446,-85.58234,44.75688
71,Austin Straubel Intll,0.7903,-0.347,-88.11793,44.505775
72,Burlington Intl,0.8665,-0.3472,-73.14022,44.48485
73,Outagamie County,0.7883,-0.3492,-88.51105,44.275597
74,Roberts Field,0.6221,-0.3492,-121.178955,44.275597
75,Mahlon Sweet Field,0.6116,-0.3505,-123.242805,44.13958
76,Rapid City Regional,0.7142,-0.3512,-103.07598,44.06634
77,Wittman Regional,0.7881,-0.3518,-88.550354,44.003563
78,Rochester Intll,0.768,-0.3525,-92.50117,43.930325
79,La Crosse Muni,0.7743,-0.3528,-91.262856,43.898937
80,Portland Intl Jetport,0.881,-0.355,-70.29014,43.668755
81,Jackson Hole,0.6751,-0.3554,-110.76139,43.626904
82,Joe Foss Field,0.7464,-0.3557,-96.74682,43.595516
83,Boise Air Terminal /Gowen Fld/,0.6472,-0.3558,-116.24535,43.585052
84,Mbs Intll,0.8109,-0.3561,-84.06884,43.553665
85,Fanning Field,0.6683,-0.3563,-112.097984,43.532738
86,Friedman Memorial,0.657,-0.3564,-114.319084,43.522278
87,North Bend Muni,0.6063,-0.3572,-124.28457,43.438576
88,Muskegon County,0.7999,-0.3596,-86.23097,43.18747
89,Oneida County,0.8552,-0.3598,-75.36133,43.166542
90,Dane County Regional-Truax Fie,0.7841,-0.3599,-89.336586,43.15608
91,Greater Rochester Intl,0.8435,-0.3601,-77.66106,43.135155
92,Syracuse Hancock Intl,0.8515,-0.3602,-76.08859,43.12469
93,Bishop Intll,0.8126,-0.3615,-83.73469,42.988674
94,General Mitchell Intll,0.7914,-0.3617,-87.90172,42.96775
95,Greater Buffalo Intl,0.8381,-0.3618,-78.722466,42.957287
96,Manchester,0.8753,-0.3619,-71.410515,42.946823
97,Pocatello Regional,0.6657,-0.3621,-112.60903,42.9259
98,Natrona County Intl,0.6969,-0.3621,-106.476425,42.9259
99,Kent County Intl,0.8035,-0.3623,-85.52337,42.904972
100,Capital City,0.8083,-0.3633,-84.57989,42.800346
101,Albany County,0.8632,-0.3636,-73.788864,42.768955
102,Waterloo Muni,0.7685,-0.3655,-92.402885,42.570164
103,Tompkins County,0.8497,-0.3661,-76.4424,42.50739
104,Twin Falls-Sun Valley Regional,0.656,-0.3662,-114.51564,42.496925
105,Detroit City,0.8163,-0.3669,-83.00742,42.423687
106,Sioux Gateway,0.7482,-0.3669,-96.39301,42.423687
107,Dubuque Regional,0.7771,-0.3669,-90.712494,42.423687
108,Rogue Valley Intl- M,0.6133,-0.3672,-122.90866,42.392296
109,General Edward Lawrence Logan,0.8775,-0.3673,-70.97809,42.381836
110,Worcester Muni,0.873,-0.3682,-71.862595,42.28767
111,Kalamazoo/Battle Creek Interna,0.8034,-0.3685,-85.54302,42.256283
112,Detroit Metropolitan Wayne Cou,0.8146,-0.3687,-83.341576,42.235355
113,Binghamton Regional/Edwin A Li,0.8521,-0.3688,-75.97066,42.22489
114,Greater Rockford,0.7853,-0.3689,-89.100716,42.21443
115,Elmira/Corning Regional,0.8475,-0.3692,-76.874825,42.18304
116,Klamath Falls Intll,0.6191,-0.3693,-121.76862,42.17258
117,Erie Intl,0.8308,-0.37,-80.15734,42.09934
118,Chicago O'hare Intl,0.7914,-0.371,-87.90172,41.994713
119,Bradley Intl,0.8689,-0.3714,-72.66849,41.95286
120,Cedar Rapids Muni,0.772,-0.3719,-91.714935,41.900547
121,William B. Heilig Field,0.7115,-0.372,-103.60668,41.890083
122,Merrill C Meigs,0.7929,-0.3721,-87.60688,41.879623
123,Chicago Midway,0.7922,-0.3728,-87.74447,41.80638
124,Jack Mc Namara Field,0.6064,-0.3729,-124.26491,41.795918
125,Theodore Francis Green State,0.8753,-0.3734,-71.410515,41.743607
126,Michiana Rgnl Transportation C,0.7995,-0.3736,-86.30959,41.72268
127,Toledo Express,0.8123,-0.3747,-83.793655,41.60759
128,Des Moines Intl,0.7621,-0.3752,-93.66086,41.555275
129,Stewart Int'l,0.8617,-0.3755,-74.0837,41.523888
130,Quad-City,0.7781,-0.376,-90.51593,41.471573
131,Cleveland-Hopkins Intl,0.8222,-0.3764,-81.84773,41.42972
132,Wilkes-Barre/Scranton Intl,0.8534,-0.3771,-75.71513,41.356483
133,Eppley Airfield,0.7507,-0.3774,-95.90162,41.325096
134,Tweed-New Haven,0.8679,-0.3778,-72.86504,41.283245
135,Youngstown-Warren Regional,0.8282,-0.3779,-80.66839,41.27278
136,Westchester County,0.8637,-0.3797,-73.69058,41.08445
137,Fort Wayne Intll,0.8052,-0.3805,-85.18922,41.000748
138,Arcata,0.607,-0.3805,-124.14697,41.000748
139,Akron-Canton Regional,0.8243,-0.3811,-81.43496,40.937973
140,Lincoln Muni,0.7463,-0.3818,-96.76647,40.864735
141,University Park,0.8426,-0.3818,-77.83795,40.864735
142,Elko Muni-J.C. Harris Field,0.6494,-0.382,-115.81293,40.843807
143,Long Island Mac Arthur,0.8668,-0.3823,-73.08125,40.81242
144,Salt Lake City Intl,0.6688,-0.3824,-111.9997,40.801956
145,Burlington Regional,0.775,-0.3824,-91.12526,40.801956
146,La Guardia,0.8629,-0.3825,-73.84783,40.791492
147,Newark Intl,0.8614,-0.3833,-74.14267,40.70779
148,Greater Peoria Regional,0.7823,-0.3835,-89.69039,40.686867
149,Lehigh Valley Intll,0.8549,-0.3837,-75.420296,40.66594
150,John F Kennedy Intl,0.8633,-0.3838,-73.76921,40.655476
151,Redding Muni,0.6163,-0.385,-122.318985,40.529922
152,Pittsburgh Intll,0.8305,-0.3852,-80.2163,40.509
153,Yampa Valley,0.693,-0.3853,-107.243004,40.498535
154,Bloomington/Normal,0.7862,-0.3853,-88.92381,40.498535
155,Purdue University,0.7963,-0.3859,-86.93858,40.43576
156,Mercer County,0.8581,-0.3872,-74.791306,40.299744
157,Harrisburg Intll,0.8481,-0.388,-76.75689,40.21604
158,University Of Illinois-Willard,0.7895,-0.3895,-88.27518,40.0591
159,Port Columbus Intl,0.8169,-0.3899,-82.88949,40.01725
160,Quincy Muni Baldwin Field,0.7746,-0.3904,-91.20389,39.964935
161,James M Cox Dayton Intl,0.8102,-0.3908,-84.20643,39.923084
162,Philadelphia Intl,0.8559,-0.3911,-75.22374,39.891697
163,Capital,0.7824,-0.3914,-89.67074,39.860306
164,Decatur,0.7865,-0.3915,-88.864845,39.849846
165,Chico Muni,0.6185,-0.3918,-121.88656,39.818455
166,Stapleton Intl,0.7049,-0.392,-104.90397,39.79753
167,Indianapolis Intl,0.7996,-0.3926,-86.28994,39.734753
168,Eagle County Regional,0.6946,-0.3933,-106.92851,39.661514
169,Reno/Tahoe Intll,0.6291,-0.3947,-119.80305,39.515034
170,Atlantic City Intll,0.8593,-0.3951,-74.55544,39.473183
171,Hulman Regional,0.7944,-0.3951,-87.31204,39.473183
172,Kansas City Intl,0.7567,-0.3966,-94.72227,39.316242
173,Aspen-Pitkin Co/Sardy Field,0.6948,-0.3973,-106.8892,39.243004
174,Baltimore-Washington Intl,0.8486,-0.3978,-76.65861,39.19069
175,Walker Field,0.6864,-0.3983,-108.54028,39.138374
176,Cincinnati/Northern Kentucky I,0.8079,-0.399,-84.65851,39.065136
177,Washington Dulles Intl,0.8446,-0.4,-77.44484,38.96051
178,Lake Tahoe,0.628,-0.4005,-120.019264,38.908195
179,Washington National,0.8467,-0.4008,-77.03207,38.87681
180,Columbia Regional,0.7694,-0.4012,-92.22599,38.834957
181,City Of Colorado Springs Muni,0.7059,-0.4013,-104.707405,38.824493
182,Lambert-St Louis Intl,0.7789,-0.4018,-90.35869,38.77218
183,Sacramento Metropolitan,0.6198,-0.4023,-121.631035,38.719864
184,Gunnison County,0.6945,-0.4039,-106.948166,38.55246
185,Sonoma County,0.6136,-0.4041,-122.84969,38.531536
186,Yeager,0.8235,-0.4054,-81.59221,38.39552
187,Tri-State/Milton J.Ferguson Fi,0.8186,-0.4055,-82.55534,38.385056
188,Pueblo Memorial,0.7069,-0.4062,-104.51085,38.311817
189,Louisville Intl,0.8024,-0.4073,-85.73958,38.196728
190,Charlottesville-Albemarle,0.8395,-0.4077,-78.44728,38.154877
191,Evansville Regional,0.7933,-0.4086,-87.52825,38.06071
192,Blue Grass,0.8082,-0.4086,-84.59954,38.06071
193,Stockton Metropolitan,0.6216,-0.41,-121.27723,37.91423
194,Greenbrier Valley,0.8296,-0.4103,-80.3932,37.882843
195,Williamson County Regional,0.7858,-0.4114,-89.00244,37.767754
196,Forney Aaf,0.7698,-0.4115,-92.14736,37.75729
197,Metropolitan Oakland Intl,0.6166,-0.4117,-122.26002,37.736362
198,Wichita Mid-Continent,0.7429,-0.4123,-97.43477,37.673588
199,Modesto City-County--Harry Sha,0.6231,-0.4126,-120.98239,37.6422
200,Mammoth Lakes,0.6339,-0.4126,-118.859566,37.6422
201,San Francisco Intl,0.6159,-0.4126,-122.39761,37.6422
202,Richmond Intll,0.8453,-0.4137,-77.30725,37.527107
203,San Jose Intll,0.6181,-0.4151,-121.96518,37.38063
204,Roanoke Regional/Woodrum Field,0.8318,-0.4154,-79.96078,37.349243
205,Merced Municipal/Macready Fiel,0.6253,-0.4158,-120.549965,37.307392
206,Springfield Regional,0.7635,-0.4162,-93.38568,37.26554
207,Cape Girardeau Regional,0.7829,-0.4164,-89.57246,37.244614
208,Durango-La Plata County,0.6903,-0.4171,-107.77371,37.171375
209,Joplin Regional,0.7578,-0.4171,-94.50606,37.171375
210,Newport News/Williamsburg Inte,0.8495,-0.4173,-76.481705,37.150448
211,Barkley Regional,0.787,-0.418,-88.76657,37.07721
212,Norfolk Intl,0.851,-0.4196,-76.18687,36.909805
213,Fresno Air Terminal,0.6294,-0.4207,-119.74408,36.794716
214,Monterey Peninsula,0.6186,-0.4225,-121.866905,36.606384
215,Tri-Cities Regional Tn/Va,0.8194,-0.4236,-82.398094,36.491295
216,Tulsa Intl,0.7507,-0.4262,-95.90162,36.21926
217,Nashville Intll,0.7976,-0.4269,-86.68306,36.146023
218,Piedmont Triad Intll,0.832,-0.4272,-79.92147,36.114635
219,Mc Carran Intl,0.6526,-0.4273,-115.18394,36.10417
220,Drake Field,0.7595,-0.4281,-94.171906,36.02047
221,Raleigh-Durham Intll,0.8378,-0.4293,-78.78143,35.894917
222,Mc Ghee Tyson,0.8113,-0.4299,-83.99021,35.83214
223,Asheville Regional,0.8187,-0.4335,-82.53569,35.45548
224,Meadows Field,0.6327,-0.4335,-119.095436,35.45548
225,Will Rogers World,0.742,-0.4339,-97.61167,35.413628
226,Fort Smith Regional,0.7585,-0.4344,-94.36847,35.361317
227,Kinston Regional Jetport At St,0.8438,-0.4345,-77.60209,35.350853
228,San Luis Obispo County-Mc Ches,0.6247,-0.4354,-120.6679,35.256687
229,Amarillo Intl,0.7211,-0.4356,-101.71973,35.235764
230,Charlotte/Douglas Intl,0.8268,-0.4356,-80.943565,35.235764
231,Flagstaff Pulliam,0.6704,-0.4363,-111.68521,35.16252
232,Memphis Intl,0.7808,-0.4372,-89.98523,35.06836
233,Albuquerque Intl,0.6961,-0.4373,-106.633675,35.057896
234,Lovell Field,0.8052,-0.4373,-85.18922,35.057896
235,Fayetteville Regional/Grannis,0.8374,-0.4377,-78.860054,35.016045
236,Santa Maria Pub/Capt G Allan H,0.6256,-0.4386,-120.491,34.92188
237,Greenville-Spartanburg,0.8204,-0.4386,-82.20154,34.92188
238,Albert J Ellis,0.8438,-0.4393,-77.60209,34.84864
239,Adams Field,0.7694,-0.4402,-92.22599,34.754475
240,Huntsville Intl-Carl T Jones F,0.7972,-0.4411,-86.76168,34.66031
241,Lawton Muni,0.7379,-0.4418,-98.41756,34.58707
242,Santa Barbara Muni,0.6288,-0.4431,-119.862015,34.451054
243,New Hanover Intll,0.8423,-0.4446,-77.89692,34.294113
244,Oxnard,0.632,-0.4453,-119.23303,34.220875
245,Burbank-Glendale-Pasadena,0.6363,-0.4453,-118.38783,34.220875
246,Ontario Intl,0.6402,-0.4467,-117.621254,34.074394
247,Sheppard Afb/Wichita Falls Mun,0.7375,-0.4474,-98.49618,34.001156
248,Los Angeles Intl,0.6361,-0.4478,-118.42714,33.959305
249,Columbia Metropolitan,0.826,-0.4478,-81.100815,33.959305
250,Palm Springs Regional,0.6457,-0.4489,-116.540184,33.844215
251,Long Beach /Daugherty Field/,0.6374,-0.449,-118.171616,33.83375
252,Myrtle Beach Intl,0.8371,-0.4503,-78.91902,33.697735
253,John Wayne Airport-Orange Coun,0.6388,-0.4503,-117.89644,33.697735
254,Lubbock Intl,0.7205,-0.4504,-101.83766,33.68727
255,The William B Hartsfield Atlan,0.8091,-0.4506,-84.422646,33.666348
256,Birmingham Intl,0.7973,-0.4514,-86.74203,33.582645
257,Texarkana Regional-Webb Field,0.7604,-0.4524,-93.99501,33.478016
258,Phoenix Sky Harbor Intl,0.6686,-0.4526,-112.03902,33.457092
259,Bush Field,0.8216,-0.4532,-81.96567,33.394314
260,Charleston Afb/Intl,0.8314,-0.4577,-80.039406,32.92349
261,Dallas/Fort Worth Intl,0.7449,-0.4578,-97.04166,32.91303
262,Dallas Love Field,0.7458,-0.4582,-96.86475,32.871178
263,San Diego Intl-Lindbergh Fld,0.6423,-0.4593,-117.20848,32.756084
264,Yuma Mcas/Yuma Intl,0.6554,-0.46,-114.633575,32.682846
265,Columbus Metropolitan,0.8065,-0.4614,-84.93369,32.536366
266,Monroe Regional,0.7703,-0.4614,-92.04909,32.536366
267,Shreveport Regional,0.7612,-0.4621,-93.83776,32.463127
268,Abilene Regional,0.7314,-0.4624,-99.69518,32.43174
269,Gregg County,0.7567,-0.4626,-94.72227,32.410812
270,Tyler Pounds Field,0.7532,-0.4629,-95.410225,32.379425
271,Jackson Intll,0.7803,-0.4634,-90.0835,32.32711
272,Dannelly Field,0.7991,-0.4635,-86.38822,32.31665
273,Savannah Intll,0.8255,-0.4651,-81.1991,32.149246
274,Tucson Intl,0.6741,-0.4652,-110.95795,32.138783
275,Midland Intll,0.7186,-0.4669,-102.21112,31.960915
276,El Paso Intl,0.6973,-0.4682,-106.397804,31.8249
277,Waco Regional,0.7439,-0.47,-97.23821,31.636568
278,Alexandria Esler Regional,0.769,-0.4721,-92.30461,31.416851
279,Mathis Field,0.7273,-0.4725,-100.50107,31.375
280,Killeen Muni,0.7416,-0.4751,-97.69029,31.102968
281,Mobile Regional,0.7897,-0.4788,-88.23586,30.715845
282,Easterwood Field,0.7483,-0.4798,-96.37336,30.611217
283,"Baton Rouge Metropolitan, Ryan",0.7749,-0.4803,-91.14492,30.558903
284,Jacksonville Intl,0.8231,-0.4807,-81.67083,30.517052
285,Eglin Afb,0.7984,-0.4808,-86.52581,30.50659
286,Pensacola Regional,0.7951,-0.4809,-87.17445,30.496126
287,Tallahassee Regional,0.8095,-0.4816,-84.34402,30.422888
288,Robert Mueller Muni,0.7415,-0.4826,-97.70995,30.31826
289,Panama City-Bay Co Intl,0.8027,-0.4834,-85.68061,30.234558
290,Lafayette Regional,0.7706,-0.4835,-91.99012,30.224094
291,Lake Charles Regional,0.7643,-0.4842,-93.22843,30.150856
292,New Orleans Intl/Moisant Fld/,0.7794,-0.4855,-90.26041,30.01484
293,Houston Intercontinental,0.7535,-0.4856,-95.35126,30.004377
294,Jefferson County,0.7602,-0.4859,-94.03432,29.972988
295,Gainesville Regional,0.8201,-0.4884,-82.260506,29.71142
296,William P Hobby,0.7538,-0.4888,-95.29229,29.669569
297,San Antonio Intl,0.7376,-0.4899,-98.476524,29.554478
298,Daytona Beach Intl,0.8263,-0.4933,-81.04185,29.198744
299,Orlando Intl,0.825,-0.5004,-81.29737,28.455887
300,Melbourne Intll,0.8284,-0.5036,-80.629074,28.121078
301,Tampa Intl,0.8188,-0.5048,-82.51603,27.995525
302,St Petersburg/Clearwater Intl,0.818,-0.5054,-82.67328,27.932749
303,Corpus Christi Intl,0.7425,-0.5067,-97.51339,27.796732
304,Laredo Intl,0.7325,-0.5089,-99.47897,27.566551
305,Sarasota/Bradenton Intl,0.8186,-0.5103,-82.55534,27.420073
306,Palm Beach Intl,0.8312,-0.5171,-80.07871,26.708605
307,Southwest Florida Intl,0.8227,-0.5185,-81.74946,26.562124
308,Rio Grande Valley Intl,0.7417,-0.5215,-97.67064,26.248241
309,Mc Allen Miller Intl,0.7388,-0.522,-98.240654,26.195929
310,Fort Lauderdale/Hollywood Intl,0.8309,-0.523,-80.13768,26.091301
311,Miami Intl,0.8302,-0.5256,-80.27527,25.81927
312,Lihue,0.4276,-0.5621,-159.40944,22.000357
313,Honolulu Intl,0.4348,-0.5684,-157.99423,21.341202
314,Molokai,0.439,-0.57,-157.16869,21.173798
315,Kapalua,0.4412,-0.5718,-156.73625,20.985468
316,Kahului,0.4424,-0.5724,-156.5004,20.922691
317,Lanai,0.4398,-0.5735,-157.01144,20.807602
318,Keahole-Kona Intll,0.4444,-0.5835,-156.10727,19.761324
319,Hilo Intll,0.4495,-0.5837,-155.10483,19.740398
320,Rafael Hernandez,0.8972,-0.5954,-67.105896,18.516254
321,Luis Munoz Marin Intl,0.9029,-0.5959,-65.98552,18.46394
322,Cyril E King,0.9082,-0.5969,-64.94376,18.359312
323,Eugenio Maria De Hostos,0.8971,-0.5977,-67.12556,18.27561
324,Mercedita,0.9001,-0.6,-66.53588,18.034967
325,Alexander Hamilton,0.9091,-0.6029,-64.76686,17.731546
326,Johnston Atoll,0.3757,-0.6122,-169.6108,16.758509
327,Saipan Intl,0.1479,-0.6276,-214.38666,15.147243
328,Rota Intl,0.1454,-0.6366,-214.87805,14.205593
329,Guam Intll,0.1431,-0.6432,-215.33014,13.51505
330,Babelthuap/Koror,0.0909,-0.7017,-225.59045,7.394329
331,Pago Pago Intl,0.3697,-0.909,-170.79015,-14.294994
332,West Tinian,0.1473,-0.6288,-214.5046,15.021689
